meal_name,disease_type,sugar_level,salt_level,temperature,expiry_days,calories,protein,description
Flour Almond,None,Low,Low,Cold,365,579,21,Nut flour
Flour Coconut,None,Low,Low,Cold,365,660,9,Tropical flour
Cornmeal,Diabetes,Low,Low,Warm,365,381,8.2,Corn flour
Polenta,Diabetes,Low,Low,Warm,365,104,3,Corn mush
Bran Wheat,Diabetes,Low,Low,Warm,365,346,16,Grain husk
Germ Wheat,Diabetes,Low,Low,Warm,365,432,27,Grain center
Sugar White,Diabetes,High,Low,Cold,730,387,0,Refined sugar
Sugar Brown,Diabetes,High,Low,Cold,730,375,0,Moist sugar
Sugar Coconut,Diabetes,High,Low,Cold,730,375,0,Palm sugar
Honey Raw,Diabetes,High,Low,Cold,730,288,0.3,Natural sweetener
Maple Syrup,Diabetes,High,Low,Cold,730,260,0,Tree syrup
Stevia,Diabetes,Low,Low,Cold,730,0,0,Zero calorie
Monk Fruit,Diabetes,Low,Low,Cold,730,0,0,Natural sugar
Xylitol,Diabetes,Low,Low,Cold,730,240,0,Sugar alcohol
Erythritol,Diabetes,Low,Low,Cold,730,20,0,Sugar alcohol
Sorbitol,Diabetes,Low,Low,Cold,730,240,0,Sugar alcohol
Aspartame,Diabetes,Low,Low,Cold,730,4,0,Artificial
Sucralose,Diabetes,Low,Low,Cold,730,0,0,Artificial
Saccharin,Diabetes,Low,Low,Cold,730,5,0,Artificial
Chocolate Dark,None,High,Low,Cold,365,598,12,Cocoa dessert
Chocolate Milk,None,High,Low,Cold,365,535,8,Sweet chocolate
Chocolate White,None,High,Low,Cold,365,573,1,Cocoa butter
Cocoa Powder,None,Low,Low,Cold,730,230,12,Pure cocoa
Carob Powder,None,Low,Low,Cold,730,295,5.2,Chocolate alt
Coffee Regular,None,Low,Low,Hot,730,0,0.1,Caffeine drink
Coffee Decaf,None,Low,Low,Hot,730,0,0.1,Caffeine free
Tea Green,None,Low,Low,Hot,365,0,0,Antioxidant tea
Tea Black,None,Low,Low,Hot,365,0,0.1,Caffeinated tea
Tea White,None,Low,Low,Hot,365,0,0,Delicate tea
Tea Herbal,None,Low,Low,Hot,365,0,0,Plant tea
Tea Oolong,None,Low,Low,Hot,365,0,0.1,Traditional tea
Tea Matcha,None,Low,Low,Hot,365,30,1.2,Powder tea
Tea Chamomile,None,Low,Low,Hot,365,0,0,Soothing tea
Tea Peppermint,None,Low,Low,Hot,365,0,0,Fresh tea
Tea Ginger,None,Low,Low,Hot,365,0,0,Spicy tea
Tea Turmeric,None,Low,Low,Hot,365,0,0,Golden tea
Wine Red,None,Low,Low,Cold,730,88,0.3,Aged wine
Wine White,None,Low,Low,Cold,730,84,0,Light wine
Wine Rose,None,Low,Low,Cold,730,83,0,Pink wine
Beer Light,None,Low,Low,Cold,365,37,0.4,Low calorie
Beer Dark,None,Low,Low,Cold,365,40,0.5,Heavy beer
Beer Stout,None,Low,Low,Cold,365,41,0.6,Dark beer
Vodka,None,Low,Low,Cold,730,64,0,Clear spirit
Gin,None,Low,Low,Cold,730,69,0,Botanical
Rum Light,None,Low,Low,Cold,730,69,0,Caribbean
Rum Dark,None,Low,Low,Cold,730,73,0,Heavy rum
Tequila,None,Low,Low,Cold,730,66,0,Agave spirit
Whiskey,None,Low,Low,Cold,730,70,0.1,Oak aged
Brandy,None,Low,Low,Cold,730,73,0,Fruit spirit
Sake,None,Low,Low,Cold,730,134,0.5,Rice wine
Vinegar Apple,None,Low,High,Cold,730,18,0,Tart liquid
Vinegar Balsamic,None,Low,Low,Cold,730,88,0,Sweet vinegar
Vinegar Rice,None,Low,Low,Cold,730,21,0.1,Mild vinegar
Vinegar White,None,Low,Low,Cold,730,18,0,Clear vinegar
Vinegar Red Wine,None,Low,Low,Cold,730,19,0,Wine vinegar
Sauce Soy,None,Low,High,Cold,730,68,11,Salty sauce
Sauce Tamari,None,Low,High,Cold,730,70,12,Wheat free soy
Sauce Coconut Aminos,None,Low,Low,Cold,365,45,5.1,Alternative soy
Sauce Hot Sriracha,None,Low,Low,Cold,365,82,3.3,Spicy sauce
Sauce Tabasco,None,Low,Low,Cold,730,110,2,Pepper sauce
Paste Tomato,None,Low,Low,Cold,180,82,3.9,Concentrated
Paste Miso,None,Low,High,Cold,365,183,11,Fermented bean
Paste Tahini,None,Low,Low,Cold,365,595,17,Sesame paste
Sauce Worcestershire,None,Low,High,Cold,730,55,0.9,Savory sauce
Sauce Fish,None,Low,High,Cold,365,115,20,Asian sauce
Sauce Oyster,None,Low,High,Cold,365,40,2,Shellfish sauce
Sauce Hoisin,None,High,High,Cold,365,258,5,Chinese sauce
Sauce Barbecue,Diabetes,High,Low,Cold,180,112,0.9,Sweet sauce
Sauce Ranch,None,Low,High,Cold,180,437,2,Creamy dressing
Seasoning Salt,None,Low,High,Cold,730,0,0,Mineral salt
Seasoning Pepper,None,Low,Low,Cold,730,251,10,Black pepper
Seasoning Garlic,None,Low,Low,Cold,730,331,17,Powder
Seasoning Onion,None,Low,Low,Cold,730,285,10,Powder
Seasoning Paprika,None,Low,Low,Cold,730,282,13,Red spice
Seasoning Cumin,None,Low,Low,Cold,730,375,18,Brown spice
Seasoning Cinnamon,None,Low,Low,Cold,730,247,3.9,Sweet spice
Seasoning Nutmeg,None,Low,Low,Cold,730,525,5.8,Warm spice
Seasoning Coriander,None,Low,Low,Cold,730,298,12,Seed spice
Seasoning Chili,None,Low,Low,Cold,730,240,12,Hot spice
Seasoning Oregano,None,Low,Low,Cold,730,338,11,Herb
Seasoning Basil,None,Low,Low,Cold,730,295,3.2,Fresh herb
Seasoning Thyme,None,Low,Low,Cold,730,276,9.1,Herb
Seasoning Rosemary,None,Low,Low,Cold,730,330,6.6,Needle herb
Seasoning Bay,None,Low,Low,Cold,730,313,7.6,Leaf herb
Seasoning Sage,None,Low,Low,Cold,730,315,11,Herb
Seasoning Parsley,None,Low,Low,Cold,7,36,2.7,Green herb
Seasoning Cilantro,None,Low,Low,Cold,3,23,2.1,Asian herb
Seasoning Dill,None,Low,Low,Cold,14,43,3.5,Feathery herb
Seasoning Mint,None,Low,Low,Cold,7,70,3.7,Cooling herb
Seasoning Tarragon,None,Low,Low,Cold,14,295,5.6,Subtle herb
Seasoning Chives,None,Low,Low,Cold,7,30,2.7,Onion herb
Mustard Yellow,None,Low,High,Cold,365,66,4.5,Tangy condiment
Mustard Spicy,None,Low,High,Cold,365,90,5,Hot mustard
Mustard Whole,None,Low,High,Cold,365,150,6,Seed mustard
Ketchup,Diabetes,High,High,Cold,365,99,1.7,Sweet condiment
Mayonnaise,None,Low,High,Cold,180,680,3.6,Creamy condiment
Hummus,None,Low,Low,Cold,14,166,8,Chickpea dip
Guacamole,None,Low,Low,Cold,2,160,2,Avocado spread
Salsa Tomato,None,Low,Low,Cold,7,36,1,Fresh sauce
Salsa Mango,None,High,Low,Cold,4,45,1,Tropical sauce
Salsa Pineapple,None,High,Low,Cold,4,50,1,Sweet sauce
Pesto,None,Low,Low,Cold,14,440,14,Herb sauce
Aioli,None,Low,High,Cold,14,717,2,Garlic mayo
Compote Apple,None,High,Low,Warm,30,85,0.2,Cooked fruit
Jam Strawberry,None,High,Low,Cold,365,272,0.4,Fruit spread
Jam Raspberry,None,High,Low,Cold,365,260,1.2,Berry spread
Marmalade Orange,None,High,Low,Cold,365,287,0.3,Citrus spread
Jelly Grape,Diabetes,High,Low,Cold,365,243,1,Purple spread
Pickle Cucumber,None,Low,High,Cold,365,12,0.6,Fermented
Sauerkraut,None,Low,High,Cold,365,27,1.3,Fermented cabbage
Kimchi,None,Low,High,Cold,30,15,2,Spicy fermented
Tempeh Fermented,None,Low,Low,Cold,14,195,19,Soy product
Miso Paste,None,Low,High,Cold,365,183,11,Fermented bean
Kombucha,None,Low,Low,Cold,30,30,0.3,Fermented tea
Water Plain,None,Low,Low,Cold,480,0,0,Pure water
Water Mineral,None,Low,Low,Cold,480,0,0,Mineral water
Water Sparkling,None,Low,Low,Cold,365,0,0,Carbonated water
Juice Water,None,Low,Low,Cold,480,0,0,Hydrating
Juice Orange,Diabetes,High,Low,Cold,7,47,0.9,Citrus juice
Juice Apple,Diabetes,High,Low,Cold,7,66,0.1,Apple juice
Juice Cranberry,None,High,Low,Cold,14,46,0.4,Red juice
Juice Lemonade,Diabetes,High,Low,Cold,7,52,0,Citrus drink
Juice Tomato,None,Low,High,Cold,14,18,0.9,Vegetable juice
Juice Carrot,None,High,Low,Cold,7,41,0.9,Orange juice
Juice Beet,None,Low,Low,Cold,7,43,1.7,Red juice
Juice Wheatgrass,None,Low,Low,Cold,3,30,2,Green juice
Juice Ginger,None,Low,Low,Cold,7,60,1,Spicy juice
Juice Turmeric,None,Low,Low,Cold,7,45,1,Golden juice
Smoothie Fruit,None,Medium,Low,Cold,3,150,4,Blended fruit
Smoothie Veggie,None,Low,Low,Cold,3,100,3,Vegetable blend
Smoothie Green,None,Low,Low,Cold,3,120,5,Greens blend
Smoothie Protein,None,Low,Low,Cold,3,200,25,Powder blend
Aloe Juice,None,Low,Low,Cold,14,15,0.2,Plant juice
Coconut Water,None,Medium,Low,Cold,14,44,0.7,Hydrating drink
Coconut Juice,None,High,Low,Cold,14,230,1,Sweet liquid
Sports Drink,Diabetes,High,Low,Cold,365,42,0,Electrolyte
Energy Drink,Diabetes,High,Low,Cold,365,110,1,Caffeine drink
Soda Cola,Diabetes,High,Low,Cold,365,42,0,Carbonated drink
Soda Diet,Diabetes,Low,Low,Cold,365,1,0,Zero sugar
Soda Lemon,Diabetes,High,Low,Cold,365,46,0,Citrus drink
Soda Orange,Diabetes,High,Low,Cold,365,45,0,Orange drink
Soda Grape,Diabetes,High,Low,Cold,365,62,0,Purple drink
Soda Root,Diabetes,High,Low,Cold,365,42,0,Vanilla drink
Broth Chicken,None,Low,Low,Warm,7,15,3,Protein liquid
Broth Beef,None,Low,Low,Warm,7,20,3,Red meat liquid
Broth Vegetable,None,Low,Low,Warm,7,15,1,Plant liquid
Broth Bone,None,Low,Low,Warm,14,86,9,Gelatin rich
Soup Chicken,None,Low,Low,Warm,4,120,12,Chicken liquid
Soup Beef,None,Low,Low,Warm,4,150,15,Beef liquid
Soup Vegetable,None,Low,Low,Warm,3,80,3,Vegetable liquid
Soup Tomato,None,Low,Low,Warm,4,100,3,Red liquid
Soup Mushroom,None,Low,Low,Warm,3,90,2,Fungi liquid
Soup Minestrone,None,Low,Low,Warm,3,160,8,Vegetable soup
Soup Lentil,None,Low,Low,Warm,3,230,18,Legume soup
Soup Bean,None,Low,Low,Warm,3,240,15,Legume soup
Soup Pea,None,Low,Low,Warm,3,200,12,Green soup
Soup Butternut,None,Low,Low,Warm,3,150,4,Squash soup
Soup Kale,None,Low,Low,Warm,3,130,7,Greens soup
Soup Spinach,None,Low,Low,Warm,3,140,8,Greens soup
Soup Onion,None,Low,Low,Warm,3,80,3,French style
Soup Celery,None,Low,Low,Warm,3,90,2,Classic soup
Soup Bamboo,None,Low,Low,Warm,3,100,2,Asian style
Soup Miso,None,Low,High,Warm,3,150,8,Japanese style
Soup Ramen,None,Low,Warm,Warm,3,280,9,Noodle soup
Soup Pho,Diabetes,Low,Low,Warm,3,120,9,Vietnamese
Soup Wonton,None,Low,Low,Warm,3,200,10,Chinese style
Braise Beef,None,Low,Low,Warm,3,280,30,Braised meat
Braise Chicken,None,Low,Low,Warm,3,250,28,Braised poultry
Braise Pork,None,Low,Low,Warm,3,290,32,Braised meat
Braise Lamb,None,Low,Low,Warm,3,310,35,Braised meat
Braise Vegetable,None,Low,Low,Warm,2,120,4,Braised plant
Stew Beef,None,Low,Low,Warm,4,320,25,Chunky meat
Stew Chicken,None,Low,Low,Warm,4,280,22,Chunky poultry
Stew Vegetable,None,Low,Low,Warm,3,150,4,Vegetable stew
Stew Bean,None,Low,Low,Warm,3,200,15,Legume stew
Curry Red,None,Low,Low,Warm,2,280,15,Spicy Thai
Curry Green,None,Low,Low,Warm,2,260,12,Mild Thai
Curry Yellow,None,Low,Low,Warm,2,240,10,Warm Thai
Curry Chicken,None,Low,Low,Warm,2,300,28,Protein curry
Curry Beef,None,Low,Low,Warm,2,350,32,Red meat curry
Curry Vegetable,None,Low,Low,Warm,2,200,8,Plant curry
Chili Meat,None,Low,Low,Warm,4,380,28,Meat stew
Chili Bean,None,Low,Low,Warm,4,290,18,Vegetarian stew
Chili Vegetable,None,Low,Low,Warm,3,200,8,Plant stew
Goulash,None,Low,Low,Warm,4,350,25,Hungarian stew
Jambalaya,None,Low,Low,Warm,3,380,18,Cajun rice
Paella,None,Low,Low,Warm,3,420,16,Spanish rice
Risotto,None,Low,Low,Warm,3,380,10,Creamy rice
Ragu,None,Low,Low,Warm,2,300,20,Italian sauce
Bolognese,None,Low,Low,Warm,2,320,22,Meat sauce
Marinara,None,Low,Low,Warm,2,240,8,Tomato sauce
Alfredo,None,Low,Low,Warm,2,380,12,Cream sauce
Pesto,None,Low,Low,Cold,1,440,14,Herb sauce
Carbonara,None,Low,Low,Warm,2,400,18,Egg sauce
Aglio Olio,None,Low,Low,Warm,2,350,12,Garlic sauce
Cacio Pepe,None,Low,Low,Warm,2,420,20,Cheese pepper
Amatriciana,None,Low,Low,Warm,2,380,18,Tomato guanciale
Pizza Margherita,Diabetes,Low,Low,Warm,2,285,12,Classic pizza
Pizza Pepperoni,Diabetes,Low,Low,Warm,2,350,15,Meat pizza
Pizza Vegetable,None,Low,Low,Warm,2,240,10,Plant pizza
Pizza Hawaiian,Diabetes,High,Low,Warm,2,280,12,Pineapple pizza
Sandwich Turkey,None,Low,Low,Cold,1,300,28,Deli sandwich
Sandwich Beef,None,Low,Low,Cold,1,350,32,Roast sandwich
Sandwich Chicken,None,Low,Low,Cold,1,320,30,Poultry sandwich
Sandwich Tuna,Heart Disease,Low,Low,Cold,1,280,25,Fish sandwich
Sandwich Veggie,None,Low,Low,Cold,1,200,8,Vegetable sandwich
Burger Beef,None,Low,Low,Warm,1,380,28,Meat burger
Burger Chicken,None,Low,Low,Warm,1,320,25,Poultry burger
Burger Veggie,None,Low,Low,Warm,1,280,12,Plant burger
Burger Turkey,None,Low,Low,Warm,1,310,26,Game burger
Burrito Chicken,None,Low,Low,Warm,1,420,30,Wrap chicken
Burrito Beef,None,Low,Low,Warm,1,480,35,Wrap beef
Burrito Bean,None,Low,Low,Warm,1,380,15,Wrap legume
Taco Chicken,None,Low,Low,Cold,1,180,18,Shell chicken
Taco Beef,None,Low,Low,Cold,1,220,20,Shell beef
Taco Fish,Heart Disease,Low,Low,Cold,1,190,16,Shell fish
Taco Vegetable,None,Low,Low,Cold,1,150,8,Shell plant
Enchilada,None,Low,Low,Warm,2,350,20,Rolled mexican
Quesadilla,None,Low,Low,Warm,2,380,18,Cheese mexican
Nachos,Diabetes,Low,High,Cold,2,480,12,Chip appetizer
Fajita,None,Low,Low,Warm,1,280,22,Sizzle dish
Tamale,None,Low,Low,Warm,1,280,8,Corn package
Empanada,None,Low,Low,Warm,1,320,12,Pocket pastry
Croissant Plain,None,Low,Low,Warm,1,406,9,Butter pastry
Croissant Chocolate,Diabetes,High,Low,Warm,1,430,8,Sweet pastry
Donut,Diabetes,High,Low,Warm,2,280,3,Fried dough
Bagel Plain,None,Low,Low,Warm,4,245,9,Hole bread
Bagel Whole Wheat,Diabetes,Low,Low,Warm,4,230,11,Grain bagel
Muffin Blueberry,Diabetes,High,Low,Warm,2,450,7,Berry cake
Muffin Chocolate,Diabetes,High,Low,Warm,2,480,8,Chocolate cake
Pancake,Diabetes,High,Low,Warm,1,350,8,Breakfast cake
Waffle,Diabetes,High,Low,Warm,1,400,9,Grid cake
French Toast,Diabetes,High,Low,Warm,1,380,10,Egg bread
Crepe Sweet,Diabetes,High,Low,Warm,1,280,6,Thin cake
Crepe Savory,None,Low,Low,Warm,1,220,8,Thin wrap
Scone,Diabetes,High,Low,Warm,1,320,6,Baked good
Biscuit,None,Low,Low,Warm,2,280,6,Butter bread
Crumpet,None,Low,Low,Warm,2,240,5,Bread cake
Wafer,Diabetes,High,Low,Cold,30,468,2,Thin cookie
Cookie Chocolate,Diabetes,High,Low,Cold,14,480,5,Sweet treat
Cookie Sugar,Diabetes,High,Low,Cold,14,450,4,White cookie
Cookie Oatmeal,Diabetes,High,Low,Cold,14,420,7,Brown cookie
Cookie Ginger,Diabetes,High,Low,Cold,14,400,5,Spice cookie
Brownie,Diabetes,High,Low,Cold,7,390,5,Chocolate cake
Cake Vanilla,Diabetes,High,Low,Cold,7,380,3,Light cake
Cake Chocolate,Diabetes,High,Low,Cold,7,420,4,Dark cake
Cake Carrot,Diabetes,High,Low,Cold,7,400,4,Vegetable cake
Cake Cheesecake,None,Medium,Low,Cold,7,540,7,Cheese cake
Pie Apple,Diabetes,High,Low,Warm,4,320,3,Fruit pie
Pie Pumpkin,Diabetes,High,Low,Warm,3,350,4,Gourd pie
Pie Cherry,Diabetes,High,Low,Warm,3,340,3,Berry pie
Pie Pecan,Diabetes,High,Low,Warm,3,520,6,Nut pie
Pie Lemon,Diabetes,High,Low,Warm,2,360,4,Citrus pie
Tart Fruit,Diabetes,High,Low,Cold,2,340,3,Pastry fruit
Tart Almond,None,Low,Low,Cold,7,420,8,Nut tart
Pudding Chocolate,Diabetes,High,Low,Cold,3,180,3,Creamy treat
Pudding Vanilla,Diabetes,High,Low,Cold,3,160,3,Classic treat
Pudding Rice,Diabetes,High,Low,Cold,3,200,4,Grain treat
Pudding Tapioca,Diabetes,High,Low,Cold,3,220,4,Bubble treat
Custard,Diabetes,High,Low,Cold,3,280,5,Egg treat
Mousse Chocolate,Diabetes,High,Low,Cold,2,340,4,Fluffy treat
Mousse Fruit,Diabetes,High,Low,Cold,2,280,3,Berry treat
Tiramisu,Diabetes,High,Low,Cold,2,400,6,Italian dessert
Cheesecake,None,Medium,Low,Cold,7,540,7,Cheese dessert
Flan,Diabetes,High,Low,Cold,3,300,4,Caramel treat
Ice Cream Vanilla,Diabetes,High,Low,Cold,30,137,2.3,Frozen treat
Ice Cream Chocolate,Diabetes,High,Low,Cold,30,150,2.6,Dark frozen
Ice Cream Strawberry,Diabetes,High,Low,Cold,30,127,2.1,Pink frozen
Ice Cream Mint,Diabetes,High,Low,Cold,30,137,2.3,Green frozen
Sorbet Fruit,Diabetes,High,Low,Cold,30,120,0.2,Frozen fruit
Gelato Vanilla,Diabetes,High,Low,Cold,30,180,3,Italian frozen
Gelato Chocolate,Diabetes,High,Low,Cold,30,200,3.2,Italian dark
Popsicle,Diabetes,High,Low,Cold,30,80,0,Frozen bar
Smoothie Acai,None,Low,Low,Cold,3,180,4,Brazilian smoothie
Smoothie Protein,None,Low,Low,Cold,3,200,25,Supplement smoothie
Fruit Plate,None,Low,Low,Cold,2,150,3,Mixed fruit
Cheese Plate,None,Low,Low,Cold,7,400,25,Cheese board
Charcuterie,None,Low,Low,Cold,7,520,32,Meat board
Antipasto,None,Low,Low,Cold,7,480,28,Italian board
Mezze Platter,None,Low,Low,Cold,7,450,18,Mediterranean
Tapas Assorted,None,Low,Low,Cold,1,350,15,Spanish small
Bruschetta,None,Low,Low,Warm,1,280,8,Toasted bread
Crostini,None,Low,Low,Warm,1,240,6,Small bread
Canapé,None,Low,Low,Cold,1,200,5,Fancy appetizer
Appetizer Shrimp,Heart Disease,Low,Low,Cold,1,120,24,Seafood app
Appetizer Meatball,None,Low,Low,Warm,2,280,15,Meat app
Appetizer Vegetable,None,Low,Low,Cold,1,80,3,Plant app
Appetizer Cheese,None,Low,Low,Cold,1,200,10,Dairy app
Deviled Egg,None,Low,Low,Cold,2,160,6,Egg app
Chicken Wing,None,Low,Low,Warm,2,320,28,Poultry app
Buffalo Chicken,None,Low,Low,Warm,2,350,30,Spicy poultry
Spring Roll,None,Low,Low,Cold,1,180,6,Asian app
Egg Roll,None,Low,Low,Warm,1,200,8,Asian fried
Dumpling,None,Low,Low,Warm,1,240,8,Asian pocket
Pot Sticker,None,Low,Low,Warm,1,260,9,Pan asian
Wonton,None,Low,Low,Cold,1,180,7,Asian wrapper
Sushi Roll,None,Low,Low,Cold,1,260,10,Rice wrap
Sashimi,Heart Disease,Low,Low,Cold,1,140,25,Raw fish
Nigiri,Heart Disease,Low,Low,Cold,1,170,12,Rice and fish
Tempura,None,Low,Low,Warm,1,320,12,Battered fried
Edamame,None,Low,Low,Warm,1,95,11,Soy snack
Gyoza,None,Low,Low,Warm,1,280,8,Japanese dumpling
Takoyaki,None,Low,Low,Warm,1,420,8,Octopus ball
Okonomiyaki,None,Low,Low,Warm,1,400,20,Savory pancake
Yakitori,None,Low,Low,Warm,1,280,28,Grilled chicken
Satay Chicken,None,Low,Low,Warm,1,320,25,Peanut skewer
Skewer Beef,None,Low,Low,Warm,1,280,24,Meat skewer
Skewer Vegetable,None,Low,Low,Warm,1,160,6,Plant skewer
Kebab,None,Low,Low,Warm,1,380,28,Middle eastern
Shawarma,None,Low,Low,Warm,1,420,32,Spice wrap
Falafel,None,Low,Low,Warm,1,330,12,Bean ball
Samosa,None,Low,Low,Warm,1,320,8,Indian pocket
Pakora,None,Low,Low,Warm,1,280,10,Indian batter
Dosa,None,Low,Low,Warm,1,280,7,Indian crepe
Idli,None,Low,Low,Warm,1,240,4,Indian cake
Uttapam,None,Low,Low,Warm,1,280,8,Indian savory
Chaat,None,Low,Low,Cold,1,320,6,Indian snack
Momos,None,Low,Low,Warm,1,280,8,Tibetan dumpling
Thukpa,None,Low,Low,Warm,1,280,12,Tibetan soup
Momo Steamed,None,Low,Low,Warm,1,260,7,Asian steamed
Baozi,None,Low,Low,Warm,1,280,8,Chinese bun
Bao Filled,None,Low,Low,Warm,1,350,10,Chubby bun
Zongzi,None,Low,Low,Warm,7,280,6,Rice dumpling
Mooncake,Diabetes,High,Low,Cold,30,420,4,Festival cake
Chow Mein,None,Low,Low,Warm,1,380,14,Noodle dish
Lo Mein,None,Low,Low,Warm,1,420,12,Soft noodle
Chow Fun,None,Low,Low,Warm,1,400,13,Wide noodle
Singapore Noodles,None,Low,Low,Warm,1,380,12,Curry noodle
Pad Thai,None,Low,Low,Warm,1,400,9,Sweet noodle
Pad See Ew,None,Low,Low,Warm,1,380,10,Dark noodle
Pad Krapow,None,Low,Low,Warm,1,350,8,Basil noodle
Yaki Udon,None,Low,Low,Warm,1,420,14,Stir noodle
Yakisoba,None,Low,Low,Warm,1,400,12,Brown noodle
Pad Woon Sen,None,Low,Low,Warm,1,360,10,Glass noodle
Drunken Noodles,None,Low,Low,Warm,1,380,11,Spicy noodle
Laksa,None,Low,Low,Warm,1,420,15,Coconut noodle
Ramen Bowl,None,Low,Low,Warm,1,450,15,Japanese noodle
Tonkotsu Ramen,None,Low,Low,Warm,1,480,18,Pork noodle
Uni Pasta,None,Low,Low,Warm,2,580,28,Sea urchin
Gnocchi,None,Low,Low,Warm,2,380,8,Potato dumpling
Matzo Ball,None,Low,Low,Warm,1,280,5,Jewish dumpling
Spätzle,None,Low,Low,Warm,2,320,10,German noodle
Pierogi,None,Low,Low,Warm,1,300,9,Polish dumpling
Ravioli,None,Low,Low,Warm,2,380,14,Stuffed italian
Tortellini,None,Low,Low,Warm,2,400,15,Folded italian
Lasagna,None,Low,Low,Warm,3,420,18,Layered pasta
Baked Ziti,None,Low,Low,Warm,2,380,14,Cheese pasta
Feta,None,Low,Low,Cold,30,264,21,Greek cheese
Halloumi,None,Low,Low,Warm,30,390,33,Cyprus cheese
Saganaki,None,Low,Low,Warm,1,440,24,Fried cheese
Tzatziki,None,Low,Low,Cold,7,70,3,Yogurt sauce